star,review
45,"Star Wars The Last Jedi is one of the best Star Wars movies. It moves forward the story line, brings up new characters and characterizes the old ones from Episode VII. As all Star Wars movies it shows us new planets in galaxy and this is what makes the ship battles more interesting."
20,"The biggest problem with this film is the plot holes. Regardless of how die hard fans and casual movie goers feel about star wars and its rich legacy and lore. There are too many plot holes to willingly suspend disbelief; which is quite an achievement for a film franchise set in space with a variety of alien characters and an all encompassing mystical energy. Characters make decisions that don't make sense Even to people that don't know the characters so well. There is an entire ""side quest "" sequence that's so self indulgent and non-sensical it massively detracts from other, more interesting drama that is happening elsewhere in the film. Another issue is a lot of the humour just lands flat. Out of (for example) 10 jokes, only 1 lands. It's nothing to do with the context of the jokes/ funny moments either; it's that the jokes are in and of themselves unfunny, and so only serves to further detract from any drama that was developing. Some character arcs are interesting and well thought Out, but it's not enough to save the movie from the arcs and development that are lazy and hacky. Certainly Dameron Poe's arc is uninteresting and stereotypical, and what was once a potentially interesting character now just feels like a tack on into the universe to make another ""loveable rogue"" character. Some of the action sequences are well executed and feel impressive against otherwise flat and lifeless moments. The last 1/3 of film almost saves the movie which goes to great lengths to avoid previously established ideas and contonuity; but tragically again plot holes throughout the last part of the film detract from a few otherwise good moments that were built up and well executed. Lukes final scenes certainly do enough to raise the stakes and cause goosebumps, but the action and plot going on around these impactful moments once again make them largely irrelevant. The score itself stands out as always but overall a few good moments aren't enough to save this mess of a movie which caused a significant amount of furrowed brows and audible ""what? How?"" During the screening I went to. Myself included. A disappointing addition to what was a promising start."
5,"Mark Hamill was great, the script, not so much. The writer clearly has no understanding of the original characters, or he blatantly destroyed them to spite fans. This is Not My Luke Skywalker."
5,"Worst Star Wars ever, second maybe to Attack of the Clones. Can't believe they messed this one up so badly. How can so many people involved in making the next installment of such an important franchise not see problems in this script...or in the rough cut... I have a loss for words. I'm just disappointed. They're not making these films for people who love a good story anymore. They're making them for children, which is exactly how every single character acts in the film. The subplots go nowhere, the tone is usually completely unfitting, characters like Finn, Rey, and Poe have virtually no character development, Luke is neither a hero nor a mentor character (he's just...sad), Laura Dern (playing Admiral Holdo) simply doesn't fit in the Star Wars universe - I'm sorry, several plot points previously set up in TFA are either flat out ignored/replaced/or summed up in very underwhelming-sweep-it-under-the-rug ways, there were jokes and words that don't feel like they would happen in the Star Wars universe (I mean ""godspeed"" and ""forte""? come on), and an entire CGI-heavy 'Casino Land' that seems like an irrelevant, subplot island of the worst kind, reminiscent of Pod Racing in TPM. So many more things... but over all, just awful. Even if I try to forget everything I know about Star Wars and then look at TLJ, I would almost consider it an okay Disney movie, but when reality hits and I consider the legacy that precedes it, TLJ is just a terrible embarrassment on the Star Wars family tree."
2,"I have no problems with the changes made to what many consider Star Wars cannon. My problem was with the poor character development and pacing of the film. For example, new character Rose could have been completely replaced with DJ the code breaker (Del Toro's character) which would have set up the phase tech the rebels were using to escape on the pods and saved the entire casino/alien horse subplot. This subplot felt too rushed to be worthwhile and instead would have given the DJ character time to build up for a more exciting heist type feeling as they try to shut down the tracker and make his betrayal later feel like... actual betrayal. His charter was cool and unique but his motivations were sketchy to say the least. Help them escape prison, infiltrate the first order ship, and just to turn around and betray them. Why was he so willing to help in the first place? It didn't make logical sense. Also, what was the point of Rey going down the black hole and touching the black wall? What did that accomplish? I can guess, but it felt like they were trying to touch on the scene where Luck meets Vader in the swamp, but not nearly as clear or impactful. Another problem I had was after the struggle between the lightsaber and it explodes, it opens up on Kylo waking up and the General just saying ""oh yeah, she stole a ship and bolted."" Kind of like, ""yeah, we saw that she was making a break for it and was like, meh..."" Then, she just appears back on the Falcon? Way to choppy and lazy."
5,"All you need to know about this film is that at one point, while all their friends are in terrible danger of dying and they've failed their mission, Rose and Finn take a saddle off of space horse and proclaim it was all worth it. Full of plot holes, forced comedy and cheesy gotcha moments."
2,"The Last Jedi abandons every good storyline established in The Force Awakens and leaves avid Star Wars fans in a funk wondering ""what was that?"" Long held notions of the Force and the Jedi are seemingly mocked in an almost forced barrage of failed humor. The film was designed more as a commercial piece to stand on its own as an independent film rather than trying to fit into the storyline of the franchise. What we're left with is a mess that J.J. Abrams will have a uphill battle to overcome in Episode IV."
2,"Visually we are getting spoiled with the awesome CGI. The story however is a disappointment. The new characters are great but the overall arc story has been bastardized by Disney's desire to keep making movies. Luke is the key character in all of this and his likability took a hit in this movie. This series was about the Skywalkers and now it feels like they don't care based on the character assassination. Why not end this the way it should have been ended and then move on to new stories. For example, I thought Rouge One was wonderful and it didn't cause any issues with the Skywalker saga. This was just wrong on so many levels."
5,"Surprisinig twists, layered, deep story, beautiful visuals and overall a very good movie."
45,"Star Wars: The Last Jedi honors both the rich mythology and legacy of the franchise while also turning the Star Wars ""schematic"" on its head. This installment takes huge risks and challenges the viewer as well as open new doors for the future of the franchise. For better or worse, Star Wars has evolved."
40,"I have gone through stages with this movie. First loving it then hating it now excepting it all within a few days of watching it. I can now say that this is a good star wars film but it does struggle with philosophy. I now however think that is the point. I believe this movie to be a deconstruction and about moving on. While at first it feels a bit like a slap in the face over time I get it. Han, Luke and Liea are not going to be around forever so their stories needed to be passed on. I think the best line comes from Del Toro to explain this film, ""I don't know maybe you are right."" That to me describes perfectly the conflict of this film, the struggle with the Jedi and the force, the difference between heroic sacrifice and suicide killing. While I think there were some mistakes or missteps I do believe this film deserves some praise."
10,"I feel a disturbance in the force, and it's this movie. The only light saber fight is against . One really good fight scene would have at least somewhat saved the movie. Instead, we have Kylo and Rey, fighting faceless guards, and neither of them use any of their telekinesis powers."
10,"Rotten Tomatoes ""critics"" are complete sell outs. There is NO WAY this mediocre Disney abomination can get 90+% rating and no one of those so called critics would raise a voice. Cookie cutter plot with cliche script and lifeless ""acting"" all around. Complete joke. Its an insult to the intelligence of the audience. There is exactly ONE scene that is not a complete overused cliche. They really need Christopher Nolan or some other real director to pick up the movie or just file it all with avengers and pirates BS."
50,"This is the Star Wars movie we deserve. I was thrilled by The Force Awakens, by the new characters and the return of the old, but the storyline itself was boring. It felt like the Death Star was getting its third, stale outing and old characters had barely changed since we saw them last in Return of the Jedi. It was made by a fan too much in awe of his material. His love for the originals shone through, but it was an homage to The Empire Strikes Back rather than a fresh chapter where time has passed and characters have changed. In the end, it didn't matter too much, TFA was beautiful and I was won over from the second those yellow letters started to crawl up the screen.

So now to Rian Johnson's attempt at a Star Wars movie. There are so many reasons it is a success to me. Setting aside the new worlds, the new creatures (Porgs! Glitter critters!! Racegoatlynxes!!!) and the refreshing swathe of new characters played by women and people of colour (finally), at the core of this movie is it's attention to failure. Things go wrong. Characters mess up. Bad choices are made. Trust is betrayed, heroes disappoint, legends turn out to be an illusion. Things don't go the way you think. And yet there is hope. I am so glad that this hope doesn't stem from the Skywalker dynasty, that the message is that ordinary people, a rejected girl, the children of nobodies, can resist and lead and bring down empires.

In having his characters literally burn and destroy all that is familiar, Johnson destroys the safe, formulaic, Star Wars-by-numbers that JJ Abrams so lovingly created. The old ways are dead. What will become of this growing force between Rey & Kylo Ren? With The Last Jedi, Johnson has stripped away cliche and predictability. I have no idea what will happen in Episode IX. I am all the happier for that."
45,"*CONTAIN'S SPOILERS*
Star Wars: The Last Jedi, directed by Rian Johnson, will, as Luke tells Rey, ""not go the way you think"". The Last Jedi begins straight after the end of the Force Awakens and it is immediately apparent that Rian's vision for the new Star Wars is being put on the big screen. This is the most ambitious film in the franchise to date, as it settles all the fan-theories that have strangled every Star Wars fan for the past two years, by simply scrapping them, and I seriously liked it. First and foremost, all the characters, bar Han Solo, return in this epic, action-packed and emotional film, including Rey, Finn, Poe, General Leia, and Kylo Ren. After appearing briefly at the end of the Force Awakens, we finally see Luke as the old, rugged and isolated Jedi, who simply does not want to go back to what it used to be, saying that ""it is time for the Jedi to end"". We are also introduced to a trio of new characters: Rose, a maintenance worker in the resistance; Vice Admiral Amilyn Holdo, a leading officer in the resistance; and DJ, a codebreaker and a thief. Each character, both old and new, have a shining moment, few, in particular, were visually stunning to watch, such as Kylo Ren slicing Snoke in half with Luke's lightsaber and Holdo sacrificing her own life for the escaping resistance ships by flying the command ship straight at the First Order fleet at lightspeed, silencing the film so the audience could stare in awe. The acting was the best that's ever been in a Star Wars movie, with Mark Hamill as Luke Skywalker and the late Carrie Fisher as Leia Organa the highlights in that department. The action was spectacular, particularly as the Rey and Kylo team-up against Snoke and the rebels escaping the First Order fleet was panning out at the same time. The story arc of Rey, Kylo, and Luke was incredibly well done, with Rey planting herself as a powerful force user and Kylo apprehensive on his allegiance to the light and dark sides. The reveal of Rey's parentage I believe was very well done and came as no surprise to myself, but I'm am certain that many who were expecting something more grandiose will be dissatisfied. Admittedly, however, many Star Wars fans will find these revelations and events irritating and conflicting. One such being of Supreme Leader Snoke, who was simply a red-herring this whole time, and though his death was shocking, it was somewhat unwarranted that the Force Awakens painted him as the ultimate villain, similar to Emperor Palpatine, for then to be killed off. Despite this, the whole sequence of events spanning a short period time that led up to this moment was suspenseful and thrilling to watch, and the immediate team-up of Rey and Kylo, as well as the kamikaze of Holdo into the fleet, culminated in without a doubt, one of the greatest Star Wars moments. My other issues, some are nitpicky, include Captain Phasma, who was a wasted opportunity again, and will be known as the Boba Fett of the current trilogy; the Finn, Rose story arc was weak and the ensuing romance felt forced; how did Finn, Rose and Poe know to call Maz Kanata to find the codebreaker when only Finn had met her for barely a brief moment in the Force Awakens; and how did DJ know about the escaping rebel ships when they were captured. I know many found Leia's using the force to fly in space far-fetched (I initially found it weird), but knowing this was Carrie Fisher's last movie as Leia, it was a nice to see her using her force sensitive powers numerous times. My lowest point of the Last Jedi was Canto Bight. What was the point really? The entire plot to find the code-breaker was utterly pointless and eventuated in a total failure. It introduced nothing that was relevant to the rest of the main plot and in the end, they found a less qualified thief in Benicio del Toro's DJ. Overall, Star Wars: The Last Jedi, despite its weaknesses in some aspects, is one of the best in the franchise, equal second with a New Hope behind Empire Strikes Back, and where many of the negativity comes from maybe because it is the least like any Star Wars movie previously. Many of the complaints are fair, but the surprises that we were least expecting made this a far more thoughtful film and its ambitious take on the universe of Star Wars is a refreshing new step."
15,"Is The Last Jedi worth watching once? Yes.Is The Last Jedi a worthy Star Wars canon movie? Hell no.I'll try to articulate my points.[Spoilers Below]Mark Hamill gives an excellent performance, and likely is the key that saved the film for me. While others hate what Luke Skywalker has become and does in the film, I am fine with the director choosing not to commit fan service with his character. Luke was a whiny, reactionary man in Star Wars and Empire Strikes Back, and gave in to his emotions for a brief bit in Return of the Jedi, so I find his portrayal in the Last Jedi well within the bounds of his character. Only Rey, Luke, and Kylo's characters seem to have any depth to them. So much so that it almost feels like the director was annoyed he had to include any other characters. The plot decisions made echo the choices made by one who has no interest in anything that has happened before in this universe, and all but poops on every decision made and question invoked in the Force Awakens. For example: Kylo's cool helmet and voice? Get rid of it. Kylo's scar? Move it. Rey's parents? Answer it in passing.
Maz? Have a quick, mostly meaningless cameo.Finn? Invent a new character and send them away to spin their wheels. Poe? Give him one-dimensional dialogue to keep him busy until the next fight. Hux? Trivialize his competition with Kylo and turn him into a toady by the end of the film.
Phasma? Use her enough to include in the marketing, then get rid of her.
Snoke? Use him as a McGuffin, then get rid of him. Hyperspace? We can track that now and also use it to destroy entire Imperial fleets easily.
Kylo's torn insides? Yeah just kidding he's totally evil and one dimensional.
Miniature Death Star Laser? Has difficulty with 10 feet of metal. This was a movie made by a typical Hollywood director who didn't want to be constrained by any tradition or prior choices in the ongoing saga. The entire Finn arc seems to exist only so the director could show a boy grabbing a broom. The director seems so dumbfounded and unable to do anything with this ensemble of characters, that his instinct is just to reduce the extended cast to typical film tropes or eliminate the characters entirely. The plot and direction just seems rushed and lazy, with the exception of Luke's and Rey's arc. I'm not upset that this movie made a few bad choices. I'm upset that Star Wars is a saga that has traditionally been about lore and storybuilding. This movie is a cookiecutter blockbuster that really doesn't seem to care what came either before or what comes after it."
